jour,taux_posiv_glissant
2020-09-01,4.008326221728549
2020-09-02,4.174765599481669
2020-09-03,4.352706852587241
2020-09-04,4.508037023252238
2020-09-05,4.564710168183119
2020-09-06,4.5755464034417805
2020-09-07,4.715213239974538
2020-09-08,4.770624053309748
2020-09-09,4.790465059862046
2020-09-10,4.790338924853652
2020-09-11,4.726998476136834
2020-09-12,4.729411971536943
2020-09-13,4.734235992083859
2020-09-14,4.805586832918277
2020-09-15,4.853563078031226
2020-09-16,4.968172177621045
2020-09-17,5.110851186021335
2020-09-18,5.311291714154852
2020-09-19,5.388402762463666
2020-09-20,5.402644685164341
2020-09-21,5.596559917400632
2020-09-22,5.8471525193584535
2020-09-23,6.015570595829584
2020-09-24,6.131848646656586
2020-09-25,6.225319531257146
2020-09-26,6.243952258689881
2020-09-27,6.2428968889638305
2020-09-28,6.209185210691689
2020-09-29,6.209480142470037
2020-09-30,6.321090353158098
2020-10-01,6.559648660581412
2020-10-02,6.935330340829631
2020-10-03,7.126819657514301
2020-10-04,7.168881749571492
2020-10-05,7.744814703159935
2020-10-06,8.22451921570266
2020-10-07,8.700951190119307
2020-10-08,9.107741929061353
2020-10-09,9.389163379166826
2020-10-10,9.539415439626818
2020-10-11,9.587409573145495
2020-10-12,9.946821016334345
2020-10-13,10.183774740766683
2020-10-14,10.293369207912043
2020-10-15,10.455908669032587
2020-10-16,10.65367012894163
2020-10-17,10.732343098981724
2020-10-18,10.773254480481206
2020-10-19,11.234692087675274
2020-10-20,11.869665234853265
2020-10-21,12.56098637254414
2020-10-22,13.242506153570718
2020-10-23,13.950640147690061
2020-10-24,14.28821373362815
2020-10-25,14.37441963281385
2020-10-26,15.034974533790269
2020-10-27,15.40988930450696
2020-10-28,15.555688025923923
2020-10-29,15.577277141466467
2020-10-30,15.557641682300988
2020-10-31,15.536402990948444
2020-11-01,15.522713738086042
2020-11-02,15.458536905766385
2020-11-03,15.299180089550504
2020-11-04,15.081694392662017
2020-11-05,14.71374710499987
2020-11-06,14.251452114387117
2020-11-07,14.026248310054907
2020-11-08,13.975475909300561
2020-11-09,13.19256759222274
2020-11-10,12.334494222253864
2020-11-11,11.910592021557886
2020-11-12,11.35793362678495
2020-11-13,10.84402661664739
2020-11-14,10.626586193056019
2020-11-15,10.57713172590795
2020-11-16,9.986737843952346
2020-11-17,9.53723880659481
2020-11-18,9.304444067662997
2020-11-19,8.748913386937318
2020-11-20,8.23895599248616
2020-11-21,8.030460885259673
2020-11-22,7.979278755582725
2020-11-23,7.366477304392734
2020-11-24,6.996533273505666
2020-11-25,6.738995181134842
2020-11-26,6.549788019699116
2020-11-27,6.3804153387729725
2020-11-28,6.3155012750846575
2020-11-29,6.301219969338765
2020-11-30,6.239892205735148
2020-12-01,6.203978950243731
2020-12-02,6.184822074500758
2020-12-03,6.184569110565052
2020-12-04,6.203121518658485
2020-12-05,6.216014463970195
2020-12-06,6.214590339104223
2020-12-07,6.193408368243072
2020-12-08,6.132439010733847
2020-12-09,6.099666467310088
2020-12-10,6.093363106725613
2020-12-11,6.052656062459585
2020-12-12,6.02036092659152
2020-12-13,6.006380788200929
2020-12-14,5.907123283198824
2020-12-15,5.736483382653007
2020-12-16,5.440925575397447
2020-12-17,5.04705194292338
2020-12-18,4.5868537794094895
2020-12-19,4.300116811773635
2020-12-20,4.215469273571275
2020-12-21,3.726737376547762
2020-12-22,3.2924848569160066
2020-12-23,2.961195258698749
2020-12-24,2.7943359985607383
2020-12-25,2.696266792840421
2020-12-26,2.7662086725446122
2020-12-27,2.778643265959845
2020-12-28,3.098926230983017
2020-12-29,3.6542191805564617
2020-12-30,4.392829098361898
2020-12-31,4.944332548527411
2021-01-01,4.9714462399136465
2021-01-02,5.153141000768837
2021-01-03,5.195352360926435
2021-01-04,5.423569347669146
2021-01-05,5.6295612161593835
2021-01-06,5.927050004992938
2021-01-07,6.14959674632623
2021-01-08,6.071189270694047
2021-01-09,6.0721264006736355
2021-01-10,6.074726254157188
2021-01-11,6.080888911542088
2021-01-12,6.010572929638417
2021-01-13,6.029923273657289
2021-01-14,6.104664723779352
2021-01-15,6.181582182377795
2021-01-16,6.19770074597702
2021-01-17,6.203986041923149
2021-01-18,6.35872962979381
2021-01-19,6.483235893381373
2021-01-20,6.542710041329595
2021-01-21,6.581281155125346
2021-01-22,6.571268104529326
2021-01-23,6.610260011274738
2021-01-24,6.612786099229412
2021-01-25,6.539012222948687
2021-01-26,6.444098780652245
2021-01-27,6.365855915765612
2021-01-28,6.256769285018716
2021-01-29,6.176325886666645
2021-01-30,6.136098589953096
2021-01-31,6.148497917566498
2021-02-01,6.128214717912806
2021-02-02,6.082885628506597
2021-02-03,6.037069252734131
2021-02-04,5.978319360289291
2021-02-05,5.885170264487527
2021-02-06,5.83633757314477
2021-02-07,5.815399722885081
2021-02-08,5.656432665875086
2021-02-09,5.537078635512691
2021-02-10,5.438321128070962
2021-02-11,5.330374838509943
2021-02-12,5.2432849791996015
2021-02-13,5.195771306712514
2021-02-14,5.1963293548719
2021-02-15,5.180676860171821
2021-02-16,5.221926653648841
2021-02-17,5.305230897508059
2021-02-18,5.4471735096470955
2021-02-19,5.616593380881312
2021-02-20,5.701257253159452
2021-02-21,5.719760226741495
2021-02-22,5.951307357358414
2021-02-23,6.113900195170234
2021-02-24,6.205874616729354
2021-02-25,6.284795071545251
2021-02-26,6.297791475548996
2021-02-27,6.329037280093081
2021-02-28,6.3221571330284
2021-03-01,6.246763774442594
2021-03-02,6.216918735243847
2021-03-03,6.213734492527108
2021-03-04,6.185817686096973
2021-03-05,6.182736282899765
2021-03-06,6.212923746798993
2021-03-07,6.217275044481464
2021-03-08,6.238797758689105
2021-03-09,6.2592234035727365
2021-03-10,6.340281966400076
2021-03-11,6.3396566449054035
2021-03-12,6.347344268911693
2021-03-13,6.406004923601085
2021-03-14,6.4303494172928435
2021-03-15,6.644638142731425
2021-03-16,6.722002408394976
2021-03-17,6.829064334206553
2021-03-18,6.890719597319469
2021-03-19,6.935764667204639
2021-03-20,6.9756878543894185
2021-03-21,6.990382575463709
2021-03-22,7.065861349740911
2021-03-23,7.1074821259498755
2021-03-24,7.145099968735055
2021-03-25,7.170672332673687
2021-03-26,7.179507049231559
2021-03-27,7.1720303885456635
2021-03-28,7.167490119498579
2021-03-29,7.125453607583471
2021-03-30,7.0350648162535085
2021-03-31,6.931782035387426
2021-04-01,6.795892016250271
2021-04-02,6.696363350840917
2021-04-03,6.568587775437951
2021-04-04,6.558571473157544
2021-04-05,6.360841663136164
2021-04-06,6.744396622345657
2021-04-07,6.933875288046143
2021-04-08,7.313404715410185
2021-04-09,7.727546176163765
2021-04-10,8.05062222102096
2021-04-11,8.074924719053906
2021-04-12,8.322608718855001
2021-04-13,8.337055704429702
2021-04-14,8.399190233747039
2021-04-15,8.490986628047231
2021-04-16,8.580427126640624
2021-04-17,8.599533243191566
2021-04-18,8.608003096028249
2021-04-19,8.624084176611902
2021-04-20,8.647913346168476
2021-04-21,8.705684984410203
2021-04-22,8.728395102149253
2021-04-23,8.706835049232312
2021-04-24,8.670455005757734
2021-04-25,8.636207561830869
2021-04-26,8.33572053521228
2021-04-27,7.984039724380318
2021-04-28,7.68402210047502
2021-04-29,7.165219064307686
2021-04-30,6.607818057860369
2021-05-01,6.446626478348475
2021-05-02,6.416401661985562
2021-05-03,5.970349299035309
2021-05-04,5.6340923241250245
2021-05-05,5.33303283676275
2021-05-06,5.016436852473481
2021-05-07,4.7396447913830135
2021-05-08,4.705516980157609
2021-05-09,4.676433974582808
2021-05-10,4.368786411805387
2021-05-11,4.088776054997563
2021-05-12,3.87440015055045
2021-05-13,3.8774777974157777
2021-05-14,3.943186855292518
2021-05-15,3.912883421534928
2021-05-16,3.894025761400946
2021-05-17,3.7940036182730905
2021-05-18,3.818207898751217
2021-05-19,3.816621253792752
2021-05-20,3.657531356991027
2021-05-21,3.45671634045017
2021-05-22,3.388257734416785
2021-05-23,3.3690512223304583
2021-05-24,3.1983367983367983
2021-05-25,3.1751120428267035
2021-05-26,3.135676146519152
2021-05-27,3.1013017274598336
2021-05-28,3.0215107936365295
2021-05-29,2.974517277829815
2021-05-30,2.963040786751378
2021-05-31,2.9330215003305025
2021-06-01,2.7293481893205898
2021-06-02,2.5883230502978023
2021-06-03,2.4462114797352505
2021-06-04,2.2901053574253116
2021-06-05,2.194787444867751
2021-06-06,2.171818287867996
2021-06-07,1.9821834295818408
2021-06-08,1.859663134143481
2021-06-09,1.724775885556905
