dep,jour,dose1_glissant,dosecomplet_glissant,n_dose1,n_complet
69,2020-12-27,NA,NA,2,0
69,2020-12-28,NA,NA,11,1
69,2020-12-29,NA,NA,6,0
69,2020-12-30,NA,NA,6,1
69,2020-12-31,NA,NA,15,3
69,2021-01-01,NA,NA,11,2
69,2021-01-02,8,1,3,0
69,2021-01-03,8,1,4,2
69,2021-01-04,9,1,17,0
69,2021-01-05,37,2,204,6
69,2021-01-06,103,3,469,6
69,2021-01-07,207,3,740,6
69,2021-01-08,313,3,754,1
69,2021-01-09,319,3,47,3
69,2021-01-10,319,3,4,1
69,2021-01-11,463,4,1021,3
69,2021-01-12,617,4,1285,8
69,2021-01-13,731,3,1268,2
69,2021-01-14,929,6,2127,26
69,2021-01-15,1070,7,1739,9
69,2021-01-16,1191,8,893,5
69,2021-01-17,1228,8,266,3
69,2021-01-18,1325,10,1696,16
69,2021-01-19,1644,13,3521,31
69,2021-01-20,2071,17,4255,31
69,2021-01-21,2328,20,3924,42
69,2021-01-22,2510,22,3018,27
69,2021-01-23,2558,22,1225,3
69,2021-01-24,2535,22,105,1
69,2021-01-25,2590,26,2084,47
69,2021-01-26,2438,35,2455,95
69,2021-01-27,2149,59,2234,201
69,2021-01-28,1914,102,2277,343
69,2021-01-29,1776,141,2053,300
69,2021-01-30,1727,142,882,5
69,2021-01-31,1721,142,63,1
69,2021-02-01,1578,187,1084,364
69,2021-02-02,1451,235,1561,434
69,2021-02-03,1329,285,1384,545
69,2021-02-04,1254,368,1753,924
69,2021-02-05,1074,442,792,818
69,2021-02-06,1004,449,394,60
69,2021-02-07,998,450,15,6
69,2021-02-08,994,540,1061,995
69,2021-02-09,1049,783,1945,2135
69,2021-02-10,1112,1089,1825,2688
69,2021-02-11,1116,1412,1779,3180
69,2021-02-12,1257,1585,1780,2031
69,2021-02-13,1261,1685,425,760
69,2021-02-14,1272,1691,89,49
69,2021-02-15,1256,1805,951,1793
69,2021-02-16,1118,1850,976,2449
69,2021-02-17,999,1814,990,2436
69,2021-02-18,881,1698,956,2368
69,2021-02-19,753,1677,886,1881
69,2021-02-20,739,1703,322,944
69,2021-02-21,733,1708,49,82
69,2021-02-22,680,1775,578,2265
69,2021-02-23,645,1739,733,2200
69,2021-02-24,648,1718,1013,2287
69,2021-02-25,818,1776,2143,2772
69,2021-02-26,1074,1766,2678,1811
69,2021-02-27,1158,1713,909,576
69,2021-02-28,1168,1713,125,78
69,2021-03-01,1394,1529,2159,977
69,2021-03-02,1746,1419,3198,1433
69,2021-03-03,2109,1278,3548,1302
69,2021-03-04,2479,1085,4733,1416
69,2021-03-05,2919,1013,5761,1310
69,2021-03-06,3273,990,3384,416
69,2021-03-07,3360,987,734,53
69,2021-03-08,3456,1006,2836,1114
69,2021-03-09,3641,979,4492,1240
69,2021-03-10,3829,939,4862,1026
69,2021-03-11,4074,881,6452,1010
69,2021-03-12,4455,852,8423,1103
69,2021-03-13,4629,830,4603,267
69,2021-03-14,4877,842,2468,137
69,2021-03-15,5119,782,4532,688
69,2021-03-16,5000,710,3661,736
69,2021-03-17,4853,694,3829,919
69,2021-03-18,4602,767,4695,1519
69,2021-03-19,4311,744,6391,940
69,2021-03-20,4153,740,3492,244
69,2021-03-21,4058,735,1805,96
69,2021-03-22,4044,741,4432,733
69,2021-03-23,4527,753,7048,822
69,2021-03-24,4872,765,6244,1001
69,2021-03-25,5388,720,8301,1204
69,2021-03-26,5697,771,8556,1300
69,2021-03-27,5641,852,3100,805
69,2021-03-28,5677,865,2059,187
69,2021-03-29,5616,1063,4003,2121
69,2021-03-30,5665,1322,7394,2635
69,2021-03-31,5636,1614,6041,3043
69,2021-04-01,5607,1838,8096,2774
69,2021-04-02,5519,2085,7942,3030
69,2021-04-03,5792,2261,5009,2036
69,2021-04-04,6342,2311,5912,536
69,2021-04-05,6559,2118,5519,771
69,2021-04-06,6217,2227,5000,3400
69,2021-04-07,6092,2329,5165,3758
69,2021-04-08,5840,2497,6330,3946
69,2021-04-09,6015,2596,9173,3727
69,2021-04-10,5728,2646,2999,2383
69,2021-04-11,5154,2819,1893,1750
69,2021-04-12,5125,3216,5318,3551
69,2021-04-13,5415,3307,7025,4036
69,2021-04-14,5625,3350,6635,4060
69,2021-04-15,5828,3426,7752,4476
69,2021-04-16,5631,3524,7797,4415
69,2021-04-17,5884,3507,4770,2261
69,2021-04-18,5857,3495,1701,1665
69,2021-04-19,6047,3513,6646,3676
69,2021-04-20,5967,3586,6467,4550
69,2021-04-21,5834,3621,5708,4302
69,2021-04-22,5635,3727,6353,5220
69,2021-04-23,5475,3775,6680,4750
69,2021-04-24,5256,3744,3237,2045
69,2021-04-25,5318,3716,2132,1471
69,2021-04-26,5025,3733,4598,3793
69,2021-04-27,5048,3814,6630,5115
69,2021-04-28,5144,3874,6379,4722
69,2021-04-29,5206,3882,6787,5277
69,2021-04-30,5269,4055,7118,5962
69,2021-05-01,5303,3854,3479,637
69,2021-05-02,5226,4389,1594,5215
69,2021-05-03,5393,4933,5764,7600
69,2021-05-04,5503,5291,7398,7623
69,2021-05-05,6079,5403,10412,5506
69,2021-05-06,6749,5514,11481,6054
69,2021-05-07,7283,5654,10856,6946
69,2021-05-08,7399,5793,4287,1607
69,2021-05-09,8021,5403,5946,2483
69,2021-05-10,8179,5170,6874,5968
69,2021-05-11,8535,5056,9892,6831
69,2021-05-12,8773,5211,12078,6589
69,2021-05-13,8677,4700,10808,2475
69,2021-05-14,8914,4441,12515,5131
69,2021-05-15,9620,4579,9230,2576
69,2021-05-16,9921,4475,8048,1756
69,2021-05-17,10522,4390,11080,5373
69,2021-05-18,10965,4276,12993,6032
69,2021-05-19,11134,4126,13262,5537
69,2021-05-20,11252,4602,11637,5810
69,2021-05-21,11110,4795,11522,6478
69,2021-05-22,10826,4798,7240,2598
69,2021-05-23,10415,4761,5174,1501
69,2021-05-24,10135,4273,9119,1952
69,2021-05-25,9765,4290,10399,6155
69,2021-05-26,9443,4356,11007,5995
69,2021-05-27,9350,4474,10989,6636
69,2021-05-28,9388,4768,11786,8541
69,2021-05-29,9563,5221,8470,5765
69,2021-05-30,9858,5417,7236,2877
69,2021-05-31,10158,6035,11222,6276
69,2021-06-01,10423,6205,12253,7346
69,2021-06-02,10895,6283,14312,6543
69,2021-06-03,11601,6366,15930,7215
69,2021-06-04,11852,6362,13544,8511
69,2021-06-05,12109,6044,10269,3543
69,2021-06-06,12080,5875,7033,1692
69,2021-06-07,12203,5964,12079,6901
69,2021-06-08,12539,6063,14608,8036
69,2021-06-09,12449,6163,13681,7245
69,2021-06-10,12243,6145,14489,7086
69,2021-06-11,12364,6287,14390,9507
69,2021-06-12,12029,6385,7923,4226
69,2021-06-13,11722,6431,4884,2016
