dep,jour,taux_posiv_glissant
01,2020-05-13,NA
02,2020-05-13,NA
03,2020-05-13,NA
04,2020-05-13,NA
05,2020-05-13,NA
06,2020-05-13,NA
07,2020-05-13,NA
08,2020-05-13,NA
09,2020-05-13,NA
10,2020-05-13,NA
11,2020-05-13,NA
12,2020-05-13,NA
13,2020-05-13,NA
14,2020-05-13,NA
15,2020-05-13,NA
16,2020-05-13,NA
17,2020-05-13,NA
18,2020-05-13,NA
19,2020-05-13,NA
21,2020-05-13,NA
22,2020-05-13,NA
23,2020-05-13,NA
24,2020-05-13,NA
25,2020-05-13,NA
26,2020-05-13,NA
27,2020-05-13,NA
28,2020-05-13,NA
29,2020-05-13,NA
2A,2020-05-13,NA
2B,2020-05-13,NA
30,2020-05-13,NA
31,2020-05-13,NA
32,2020-05-13,NA
33,2020-05-13,NA
34,2020-05-13,NA
35,2020-05-13,NA
36,2020-05-13,NA
37,2020-05-13,NA
38,2020-05-13,NA
39,2020-05-13,NA
40,2020-05-13,NA
41,2020-05-13,NA
42,2020-05-13,NA
43,2020-05-13,NA
44,2020-05-13,NA
45,2020-05-13,NA
46,2020-05-13,NA
47,2020-05-13,NA
48,2020-05-13,NA
49,2020-05-13,NA
50,2020-05-13,NA
51,2020-05-13,NA
52,2020-05-13,NA
53,2020-05-13,NA
54,2020-05-13,NA
55,2020-05-13,NA
56,2020-05-13,NA
57,2020-05-13,NA
58,2020-05-13,NA
59,2020-05-13,NA
60,2020-05-13,NA
61,2020-05-13,NA
62,2020-05-13,NA
63,2020-05-13,NA
64,2020-05-13,NA
65,2020-05-13,NA
66,2020-05-13,NA
67,2020-05-13,NA
68,2020-05-13,NA
69,2020-05-13,NA
70,2020-05-13,NA
71,2020-05-13,NA
72,2020-05-13,NA
73,2020-05-13,NA
74,2020-05-13,NA
75,2020-05-13,NA
76,2020-05-13,NA
77,2020-05-13,NA
78,2020-05-13,NA
79,2020-05-13,NA
80,2020-05-13,NA
81,2020-05-13,NA
82,2020-05-13,NA
83,2020-05-13,NA
84,2020-05-13,NA
85,2020-05-13,NA
86,2020-05-13,NA
87,2020-05-13,NA
88,2020-05-13,NA
89,2020-05-13,NA
90,2020-05-13,NA
91,2020-05-13,NA
92,2020-05-13,NA
93,2020-05-13,NA
94,2020-05-13,NA
95,2020-05-13,NA
971,2020-05-13,NA
972,2020-05-13,NA
973,2020-05-13,NA
974,2020-05-13,NA
975,2020-05-13,NA
976,2020-05-13,NA
977,2020-05-13,NA
978,2020-05-13,NA
01,2020-05-14,NA
02,2020-05-14,NA
03,2020-05-14,NA
04,2020-05-14,NA
05,2020-05-14,NA
06,2020-05-14,NA
07,2020-05-14,NA
08,2020-05-14,NA
09,2020-05-14,NA
10,2020-05-14,NA
11,2020-05-14,NA
12,2020-05-14,NA
13,2020-05-14,NA
14,2020-05-14,NA
15,2020-05-14,NA
16,2020-05-14,NA
17,2020-05-14,NA
18,2020-05-14,NA
19,2020-05-14,NA
21,2020-05-14,NA
22,2020-05-14,NA
23,2020-05-14,NA
24,2020-05-14,NA
25,2020-05-14,NA
26,2020-05-14,NA
27,2020-05-14,NA
28,2020-05-14,NA
29,2020-05-14,NA
2A,2020-05-14,NA
2B,2020-05-14,NA
30,2020-05-14,NA
31,2020-05-14,NA
32,2020-05-14,NA
33,2020-05-14,NA
34,2020-05-14,NA
35,2020-05-14,NA
36,2020-05-14,NA
37,2020-05-14,NA
38,2020-05-14,NA
39,2020-05-14,NA
40,2020-05-14,NA
41,2020-05-14,NA
42,2020-05-14,NA
43,2020-05-14,NA
44,2020-05-14,NA
45,2020-05-14,NA
46,2020-05-14,NA
47,2020-05-14,NA
48,2020-05-14,NA
49,2020-05-14,NA
50,2020-05-14,NA
51,2020-05-14,NA
52,2020-05-14,NA
53,2020-05-14,NA
54,2020-05-14,NA
55,2020-05-14,NA
56,2020-05-14,NA
57,2020-05-14,NA
58,2020-05-14,NA
59,2020-05-14,NA
60,2020-05-14,NA
61,2020-05-14,NA
62,2020-05-14,NA
63,2020-05-14,NA
64,2020-05-14,NA
65,2020-05-14,NA
66,2020-05-14,NA
67,2020-05-14,NA
68,2020-05-14,NA
69,2020-05-14,NA
70,2020-05-14,NA
71,2020-05-14,NA
72,2020-05-14,NA
73,2020-05-14,NA
74,2020-05-14,NA
75,2020-05-14,NA
76,2020-05-14,NA
77,2020-05-14,NA
78,2020-05-14,NA
79,2020-05-14,NA
80,2020-05-14,NA
81,2020-05-14,NA
82,2020-05-14,NA
83,2020-05-14,NA
84,2020-05-14,NA
85,2020-05-14,NA
86,2020-05-14,NA
87,2020-05-14,NA
88,2020-05-14,NA
89,2020-05-14,NA
90,2020-05-14,NA
91,2020-05-14,NA
92,2020-05-14,NA
93,2020-05-14,NA
94,2020-05-14,NA
95,2020-05-14,NA
971,2020-05-14,NA
972,2020-05-14,NA
973,2020-05-14,NA
974,2020-05-14,NA
975,2020-05-14,NA
976,2020-05-14,NA
977,2020-05-14,NA
978,2020-05-14,NA
01,2020-05-15,NA
02,2020-05-15,NA
03,2020-05-15,NA
04,2020-05-15,NA
05,2020-05-15,NA
06,2020-05-15,NA
07,2020-05-15,NA
08,2020-05-15,NA
09,2020-05-15,NA
10,2020-05-15,NA
11,2020-05-15,NA
12,2020-05-15,NA
13,2020-05-15,NA
14,2020-05-15,NA
15,2020-05-15,NA
16,2020-05-15,NA
17,2020-05-15,NA
18,2020-05-15,NA
19,2020-05-15,NA
21,2020-05-15,NA
22,2020-05-15,NA
23,2020-05-15,NA
24,2020-05-15,NA
25,2020-05-15,NA
26,2020-05-15,NA
27,2020-05-15,NA
28,2020-05-15,NA
29,2020-05-15,NA
2A,2020-05-15,NA
2B,2020-05-15,NA
30,2020-05-15,NA
31,2020-05-15,NA
32,2020-05-15,NA
33,2020-05-15,NA
34,2020-05-15,NA
35,2020-05-15,NA
36,2020-05-15,NA
37,2020-05-15,NA
38,2020-05-15,NA
39,2020-05-15,NA
40,2020-05-15,NA
41,2020-05-15,NA
42,2020-05-15,NA
43,2020-05-15,NA
44,2020-05-15,NA
45,2020-05-15,NA
46,2020-05-15,NA
47,2020-05-15,NA
48,2020-05-15,NA
49,2020-05-15,NA
50,2020-05-15,NA
51,2020-05-15,NA
52,2020-05-15,NA
53,2020-05-15,NA
54,2020-05-15,NA
55,2020-05-15,NA
56,2020-05-15,NA
57,2020-05-15,NA
58,2020-05-15,NA
59,2020-05-15,NA
60,2020-05-15,NA
