jour,taux_incid_glissant
2020-09-01,66.13425211459824
2020-09-02,69.69977424568087
2020-09-03,73.19824727693118
2020-09-04,76.87998784772316
2020-09-05,78.41317726388864
2020-09-06,78.64561414330733
2020-09-07,82.77881865297017
2020-09-08,86.95672256252124
2020-09-09,90.32705731409203
2020-09-10,93.7495413655324
2020-09-11,95.53453740106812
2020-09-12,96.19757849940986
2020-09-13,96.34359653904467
2020-09-14,100.02831706982917
2020-09-15,102.80861974287563
2020-09-16,105.96290739498676
2020-09-17,108.46458380873007
2020-09-18,111.4445438012772
2020-09-19,112.4979596586426
2020-09-20,112.85108491775945
2020-09-21,114.19951681438701
2020-09-22,115.23356293180085
2020-09-23,114.55264207350383
2020-09-24,113.04776227726754
2020-09-25,111.55033238101262
2020-09-26,110.95136042251065
2020-09-27,110.3285487840683
2020-09-28,107.47076715121561
2020-09-29,105.33264585656306
2020-09-30,105.83774907529978
2020-10-01,108.69255074815993
2020-10-02,114.52880239356347
2020-10-03,118.14200388452684
2020-10-04,119.02705200231335
2020-10-05,130.52820759354896
2020-10-06,140.7718200679297
2020-10-07,151.79171212036894
2020-10-08,163.5819238308816
2020-10-09,175.32296620151726
2020-10-10,181.4184743662724
2020-10-11,183.26902952164417
2020-10-12,198.56814412338107
2020-10-13,211.87366549010397
2020-10-14,223.9037639800167
2020-10-15,238.01834448471615
2020-10-16,252.22381376918827
2020-10-17,258.1420143143868
2020-10-18,260.35016466886424
2020-10-19,280.56919321829645
2020-10-20,304.06170781954165
2020-10-21,330.8187685926223
2020-10-22,359.28185646143606
2020-10-23,391.71276106032633
2020-10-24,406.4084337635725
2020-10-25,410.32112123378687
2020-10-26,445.28797178633477
2020-10-27,470.86347842237046
2020-10-28,486.01359502448
2020-10-29,493.53501404566896
2020-10-30,498.3014600537481
2020-10-31,499.9821574895446
2020-11-01,499.4472546708824
2020-11-02,501.4617076258443
2020-11-03,497.85744601485857
2020-11-04,487.7211121002095
2020-11-05,473.9611468346232
2020-11-06,453.7540381251612
2020-11-07,441.33207489622845
2020-11-08,437.46855676589115
2020-11-09,404.01850584954974
2020-11-10,371.7142495503427
2020-11-11,305.0465845970785
2020-11-12,289.53738281586703
2020-11-13,265.5680746158142
2020-11-14,255.22761344167571
2020-11-15,252.74232680789146
2020-11-16,226.97908269232533
2020-11-17,203.72049495049504
2020-11-18,221.58386512581876
2020-11-19,192.24615899919235
2020-11-20,173.3755623463877
2020-11-21,167.79111732035443
2020-11-22,166.48142490362994
2020-11-23,147.7076769505831
2020-11-24,135.67906844066664
2020-11-25,128.6255031383076
2020-11-26,122.20666931436112
2020-11-27,116.54623530851786
2020-11-28,114.79401883290015
2020-11-29,114.46026331373487
2020-11-30,111.64271114078159
2020-12-01,109.64464796577873
2020-12-02,108.01907978984428
2020-12-03,107.28898959167024
2020-12-04,107.43947757129388
2020-12-05,108.19042748941574
2020-12-06,108.40796456887169
2020-12-07,109.70126720563714
2020-12-08,110.96924018246592
2020-12-09,112.75572619799793
2020-12-10,115.02198577233003
2020-12-11,117.2882453466621
2020-12-12,119.17158006195187
2020-12-13,119.6096341808563
2020-12-14,124.00805512985586
2020-12-15,128.0131213598392
2020-12-16,131.955608429979
2020-12-17,135.3944822613784
2020-12-18,140.47084410868243
2020-12-19,144.69344741812168
2020-12-20,147.10572503208857
2020-12-21,149.4822431261449
2020-12-22,153.04627527723125
2020-12-23,155.19333645186146
2020-12-24,150.88878424262714
2020-12-25,126.76600810295822
2020-12-26,125.38330666641636
2020-12-27,123.04403807226686
2020-12-28,124.20473248936396
2020-12-29,126.00313834486614
2020-12-30,129.5299209960457
2020-12-31,133.35767960647246
2021-01-01,133.67802530567127
2021-01-02,139.1134723320772
2021-01-03,140.18774790939045
2021-01-04,148.76258278794478
2021-01-05,152.5769315784051
2021-01-06,152.99561595735796
2021-01-07,157.77100184541473
2021-01-08,184.4178040987711
2021-01-09,180.72265370801264
2021-01-10,180.35760860892563
2021-01-11,177.7605734754208
2021-01-12,175.11585898203523
2021-01-13,175.64629186070863
2021-01-14,177.4327778762406
2021-01-15,179.66774787065094
2021-01-16,181.00574990730462
2021-01-17,181.40506454630594
2021-01-18,185.94503359495147
2021-01-19,189.5001258660602
2021-01-20,191.97647261986685
2021-01-21,194.82829433273443
2021-01-22,197.6920358855722
2021-01-23,199.17158602187186
2021-01-24,199.04344774219234
2021-01-25,200.1296431594758
2021-01-26,199.3786932413539
2021-01-27,198.82889062272892
2021-01-28,199.6036802207912
2021-01-29,199.95680547990804
2021-01-30,200.06855397962858
